severity,event_id,market,symbol,event_time,event_type_l2,title,event_text,quality_flags
medium,seed_cn_000001__4df558b65e,CN,000001,2024-01-06,财报超预期/不及预期,中国创业板/科创板业绩预告密集披露,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_000001__700e069312,CN,000001,2024-04-01,财报超预期/不及预期,中国一季报业绩预告集中披露,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000001__a99de59682,CN,000001,2024-07-01,财报超预期/不及预期,中国一季报业绩预告集中披露,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000001__c7a8f29dc3,CN,000001,2024-04-01,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000001__cadc5be9ba,CN,000001,2024-07-01,并购/分拆/再融资,中国上市公司分拆子公司上市公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_000001__cf686cddb5,CN,000001,2024-11-16,财报超预期/不及预期,中国一季报业绩预告集中披露,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000002__1e3b45436d,CN,000002,2024-07-01,财报超预期/不及预期,中国一季报业绩预告集中披露,创/科板预告 | 公告 预期:无一致 前值:前期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_000002__71025f5aaf,CN,000002,2024-11-11,财报超预期/不及预期,中国A股年报季上市公司业绩快报汇总,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000002__75f66d0c91,CN,000002,2024-01-30,财报超预期/不及预期,中国A股年报季上市公司业绩快报汇总,一季预告 | 正文:公告 预期:一致 前值:上期,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_000002__a0af17c229,CN,000002,2024-04-01,财报超预期/不及预期,中国三季报业绩快报汇总,三季报 | 公告 预期:市场 前值:上期,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
high,seed_cn_000014_event_59c8b3c523,CN,000014,2026-02-07,公司指引上调/下调,沙河股份:中国国际金融股份有限公司关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的核查意见,沙河股份:中国国际金融股份有限公司关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的核查意见 | 000014 沙河股份 · 保荐/核查意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_000151_event_780a5395bf,CN,000151,2025-09-04,公司指引上调/下调,中成股份:中成进出口股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定情形的说明,中成股份:中成进出口股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条及《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定情形的说明 | 000151 中成股份 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_000333__2748362fca,CN,000333,2024-07-01,并购/分拆/再融资,中国上市公司分拆子公司上市公告,分拆上市 | 公告 预期:市场 前值:前期,模板/占位字段 | 只有标题/正文过短
medium,seed_cn_000333__7e49e483bf,CN,000333,2024-04-01,并购/分拆/再融资,中国上市公司发行股份购买资产公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000333__955d009b8a,CN,000333,2024-11-13,并购/分拆/再融资,中国上市公司分拆子公司上市公告,发股购买 | 公告 预期:一致 前值:上次,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_000333__dbbeb067e6,CN,000333,2024-01-09,并购/分拆/再融资,中国上市公司分拆子公司上市公告,分拆上市 | 公告 预期:市场 前值:前期,模板/占位字段 | 只有标题/正文过短
medium,seed_cn_000407_event_dda86ac7f8,CN,000407,2026-06-01,财报超预期/不及预期,4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(山东胜利股份有限公司),4-1本次重大资产重组涉及的拟购买资产最近两年及一期的财务报告和审计报告(确实无法提供的，应当说明原因及相关资产的财务状况和经营成果)(申报稿)(山东胜利股份有限公司) | 000407 胜利股份 · 深主板并购重组审计报告,缺少可定向量化值 | 财报缺核心字段
high,seed_cn_000545_event_db2fd7c547,CN,000545,2025-07-15,公司指引上调/下调,金浦钛业:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,金浦钛业:董事会关于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 000545 金浦钛业 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_000545_event_f7fee3a876,CN,000545,2025-07-15,公司指引上调/下调,金浦钛业:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条不得参与任何上市公司重大资产重组情形的说明,金浦钛业:董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条不得参与任何上市公司重大资产重组情形的说明 | 000545 金浦钛业 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_000567_event_2ce037f65d,CN,000567,2025-01-28,财报超预期/不及预期,海德股份:2024年度业绩预告,海德股份:2024年度业绩预告 | 000567 海德股份 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000568__1a5ace6138,CN,000568,2024-01-30,并购/分拆/再融资,中国上市公司定增/可转债/配股再融资公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000568__82af0de0d9,CN,000568,2024-07-01,并购/分拆/再融资,中国上市公司重大资产重组预案公告,重大重组 | 公告 预期:卖方一致 前值:历史案例,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_000568__a460cafcad,CN,000568,2024-04-01,并购/分拆/再融资,中国上市公司分拆子公司上市公告,定增/转债/配股 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_000568__ccc4d43778,CN,000568,2024-11-03,并购/分拆/再融资,中国上市公司重大资产重组预案公告,分拆上市 | 公告 预期:市场 前值:前期,模板/占位字段 | 只有标题/正文过短
medium,seed_cn_000599_event_8dc64be56a,CN,000599,2026-01-29,并购/分拆/再融资,深交所并购重组审核委员会2026年第2次审议会议公告,深交所并购重组审核委员会2026年第2次审议会议公告 | 000599 青岛双星 · 创业板并购重组委会议公告,并购缺交易实体/动作
high,seed_cn_000612_event_a396bc2195,CN,000612,2025-08-23,公司指引上调/下调,焦作万方:焦作万方铝业股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定情形的说明,焦作万方:焦作万方铝业股份有限公司董事会关于本次交易相关主体不存在《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十二条和《深圳证券交易所上市公司自律监管指引第8号——重大资产重组》第三十条规定情形的说明 | 000612 焦作万方 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_000612_event_adf7844130,CN,000612,2025-08-23,公司指引上调/下调,焦作万方:焦作万方铝业股份有限公司董事会对于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,焦作万方:焦作万方铝业股份有限公司董事会对于本次交易符合《上市公司监管指引第9号——上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 000612 焦作万方 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
medium,seed_cn_000638_event_8b92fd593e,CN,000545,2025-04-19,财报超预期/不及预期,万方发展:2024年度业绩预告更正公告,万方发展:2024年度业绩预告更正公告 | 000638 *ST万方 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段
medium,seed_cn_000670_event_fbb988ec1d,CN,000670,2026-01-20,并购/分拆/再融资,盈方微:董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条、第四十三条及第四十四条有关规定的说明,盈方微:董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条、第四十三条及第四十四条有关规定的说明 | 000670 盈方微 · 专项说明/独立意见,只有标题/正文过短 | 并购缺交易实体/动作
high,seed_cn_000688_event_e17d674b2e,CN,000688,2026-05-23,公司指引上调/下调,国城矿业:董事会关于本次交易符合《上市公司监管指引第9号一上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明,国城矿业:董事会关于本次交易符合《上市公司监管指引第9号一上市公司筹划和实施重大资产重组的监管要求》第四条规定的说明 | 000688 国城矿业 · 专项说明/独立意见,只有标题/正文过短 | 缺少可定向量化值 | event_type与正文语义错配
high,seed_cn_000725__81ef92172b,CN,000725,2024-01-22,并购/分拆/再融资,中国上市公司发行股份购买资产公告,定增/转债/配股 | 公告 预期:机构 前值:历史,模板/占位字段 | 只有标题/正文过短 | 并购缺交易实体/动作
medium,seed_cn_000725__c3f3f9d1f6,CN,000725,2024-07-01,并购/分拆/再融资,中国A股并购重组委审议公告,发股购买 | 公告 预期:一致 前值:上次,只有标题/正文过短 | 并购缺交易实体/动作
