stratum,event_id,market,symbol,event_time,event_type_l2,severity,title,event_text,quality_flags,old_failures
etf_prefix_failure,seed_cn_sh515400__c18575aa16,CN,SH515400,2024-01-01,并购/分拆/再融资,medium,中国上市公司定增/可转债/配股再融资公告,重组委 | 交易所 预期:会前一致 前值:过往批次,只有标题/正文过短 | 并购缺交易实体/动作,etf_prefix_failure;missing_symbol_failure
etf_prefix_failure,seed_cn_sh516180__8d2b62a562,CN,SH516180,2024-01-01,增长/就业数据意外,high,中国GDP季度核算公告,PMI | 统计局 预期:市场 前值:上月,模板/占位字段 | 只有标题/正文过短 | 标题与正文事件身份冲突 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure
etf_prefix_failure,seed_cn_sh516150__b903a88199,CN,SH516150,2024-01-06,增长/就业数据意外,high,中国规模以上工业增加值月度公告,调查失业率 | 统计局 预期:一致 前值:上月,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure;timeout_failure
etf_prefix_failure,seed_cn_sh516160__7ee13dfb0c,CN,SH516160,2024-01-08,通胀数据意外,high,中国CPI/PPI月度经济数据,PPI月度 | 统计局 预期:机构 前值:上月,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure
etf_prefix_failure,seed_cn_sh516200__fbd3a273f8,CN,SH516200,2024-01-08,增长/就业数据意外,medium,中国GDP季度核算公告,GDP季度 | 统计局 预期:一致 前值:上季度,只有标题/正文过短 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure
etf_prefix_failure,seed_cn_sh513050__82c007028e,CN,SH513050,2024-01-09,通胀数据意外,high,中国PPI工业生产者价格指数月度公告,CPI/PPI | 国家统计局 预期:卖方 前值:上月,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure
etf_prefix_failure,seed_cn_sh512760__5dbdee4e60,CN,SH512760,2024-01-10,通胀数据意外,high,中国CPI居民消费价格指数月度公告,PPI月度 | 统计局 预期:机构 前值:上月,模板/占位字段 | 只有标题/正文过短 | 标题与正文事件身份冲突 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure
etf_prefix_failure,seed_cn_sh516360__c94a0310b3,CN,SH516360,2024-01-10,增长/就业数据意外,high,中国制造业PMI月度公告,工业增加值 | 统计局 预期:机构 前值:上月,模板/占位字段 | 只有标题/正文过短 | 缺少可定向量化值,etf_prefix_failure;missing_symbol_failure
missing_symbol_non_etf,seed_cn_002843_event_e30b1661bb,CN,002843,2025-01-07,财报超预期/不及预期,medium,泰嘉股份:2024年度业绩预告,泰嘉股份:2024年度业绩预告 | 002843 泰嘉股份 · 业绩预告,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段,missing_symbol_failure;timeout_failure
missing_symbol_non_etf,seed_cn_920982_event_56cf375ea0,CN,600506,2025-02-24,财报超预期/不及预期,medium,锦波生物:2024年年度业绩快报公告,锦波生物:2024年年度业绩快报公告 | 920982 锦波生物 · 业绩快报,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段,missing_symbol_failure;timeout_failure
missing_symbol_non_etf,seed_us_xlre__eeb5208cde,US,XLRE,2025-07-01,政策利率调整,high,US FOMC Interest Rate Decision 2025-07-01,FOMC decision | consensus: Bloomberg prev: prior,模板/占位字段,missing_symbol_failure;timeout_failure
missing_symbol_non_etf,seed_cn_300289_event_67d9e58ff2,CN,300289,2025-07-30,并购/分拆/再融资,medium,利德曼:关于筹划重大资产重组暨签署投资框架协议的提示性公告,利德曼:关于筹划重大资产重组暨签署投资框架协议的提示性公告 | 300289 利德曼 · 签订协议,只有标题/正文过短 | 并购缺交易实体/动作,missing_symbol_failure;timeout_failure
missing_symbol_non_etf,seed_cn_920001_event_f2d6957bc7,CN,600272,2025-11-21,财报超预期/不及预期,medium,纬达光电:2025年第三季度报告业绩说明会预告公告,纬达光电:2025年第三季度报告业绩说明会预告公告 | 920001 纬达光电 · 其他,只有标题/正文过短 | 缺少可定向量化值 | 财报缺核心字段,missing_symbol_failure;timeout_failure
missing_symbol_non_etf,seed_us_mdt__fc07a09c2e,US,MDT,2025-12-26,公司指引上调/下调,high,US Index Constituents Guidance Update,Update | press consensus: street prev: last,模板/占位字段 | 泛化汇总标题/非实体事件 | 缺少可定向量化值,missing_symbol_failure;timeout_failure
macro_identity_or_template,seed_us_shy__e6ea43b806,US,SHY,2024-01-01,通胀数据意外,high,US PCE Price Index Release,PCE | BEA consensus: market prev: last,模板/占位字段 | 缺少可定向量化值,
macro_identity_or_template,seed_us_smh__6365642ddd,US,SMH,2024-01-05,通胀数据意外,high,US Producer Price Index 2024-01-05,PPI | BLS consensus: survey prev: prior,模板/占位字段 | 缺少可定向量化值,timeout_failure
macro_identity_or_template,seed_us_kbe__91438c2715,US,KBE,2024-01-07,政策利率调整,high,US FOMC Statement & Dot Plot,Fed funds | consensus: poll prev: current range,模板/占位字段,timeout_failure
macro_identity_or_template,seed_cn_sz399005__1a4bb4699b,CN,SZ399005,2024-01-08,政策利率调整,high,中国LPR贷款市场报价利率公布公告,例会 | 央行决议 预期:市场 前值:上次,模板/占位字段 | 只有标题/正文过短,timeout_failure
macro_identity_or_template,seed_cn_sh588000__e4ab1c3d2f,CN,SH588000,2024-01-10,政策利率调整,high,中国存款准备金率调整公告,准备金率 | 待执行 预期:机构 前值:当前,模板/占位字段 | 只有标题/正文过短,etf_prefix_failure;missing_symbol_failure;timeout_failure
